Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
30-11-2021,381.456665,389.3333435,372.6666565,381.5866699,381.5866699,81276000,TSLA
01-12-2021,386.8999939,390.9466553,363.5866699,365,365,68450400,TSLA
02-12-2021,366.3533325,371,352.2166748,361.5333252,361.5333252,73114800,TSLA
03-12-2021,361.5966797,363.5266724,333.4033203,338.3233337,338.3233337,92322000,TSLA
06-12-2021,333.8366699,340.5466614,316.8333435,336.3366699,336.3366699,81663000,TSLA
07-12-2021,348.0666809,352.5566711,342.269989,350.5833435,350.5833435,56084700,TSLA
08-12-2021,350.9033203,357.4599915,344.3333435,356.3200073,356.3200073,41906400,TSLA
09-12-2021,353.5466614,354.1633301,334.1199951,334.6000061,334.6000061,59438400,TSLA
10-12-2021,336.25,340.3266602,327.5100098,339.0100098,339.0100098,59664300,TSLA
13-12-2021,333.6966553,335,317.1400146,322.1366577,322.1366577,78595500,TSLA
14-12-2021,315,322.1366577,310,319.5033264,319.5033264,70806300,TSLA
15-12-2021,317.7366638,326.25,309.4166565,325.3299866,325.3299866,75169200,TSLA
16-12-2021,331.5,331.6600037,307.2833252,308.9733276,308.9733276,82771500,TSLA
17-12-2021,304.9233398,320.2200012,303.0133362,310.8566589,310.8566589,100437300,TSLA
20-12-2021,303.5666809,307.230011,297.7966614,299.980011,299.980011,56480100,TSLA
21-12-2021,305.6233215,313.1666565,295.3733215,312.8433228,312.8433228,71517900,TSLA
22-12-2021,321.8866577,338.5533447,319.0166626,336.2900085,336.2900085,93634200,TSLA
23-12-2021,335.6000061,357.6600037,332.519989,355.6666565,355.6666565,92713200,TSLA
27-12-2021,357.8900146,372.3333435,356.9066772,364.6466675,364.6466675,71145900,TSLA
28-12-2021,369.8299866,373,359.4733276,362.8233337,362.8233337,60324000,TSLA
29-12-2021,366.2133179,368,354.7133179,362.063324,362.063324,56154000,TSLA
30-12-2021,353.7766724,365.1833191,351.0499878,356.7799988,356.7799988,47040900,TSLA
31-12-2021,357.813324,360.6666565,351.5299988,352.2600098,352.2600098,40733700,TSLA
03-01-2022,382.5833435,400.3566589,378.6799927,399.9266663,399.9266663,103931400,TSLA
04-01-2022,396.5166626,402.6666565,374.3500061,383.1966553,383.1966553,100248300,TSLA
05-01-2022,382.2166748,390.1133423,360.3366699,362.706665,362.706665,80119800,TSLA
06-01-2022,359,362.6666565,340.1666565,354.8999939,354.8999939,90336600,TSLA
07-01-2022,360.1233215,360.3099976,336.6666565,342.3200073,342.3200073,84164700,TSLA
10-01-2022,333.3333435,353.0333252,326.6666565,352.706665,352.706665,91815000,TSLA
11-01-2022,351.2233276,358.6166687,346.2733459,354.7999878,354.7999878,66063300,TSLA
12-01-2022,359.6166687,371.6133423,357.5299988,368.7399902,368.7399902,83739000,TSLA
13-01-2022,369.6900024,371.8666687,342.1799927,343.8533325,343.8533325,97209900,TSLA
14-01-2022,339.9599915,350.6666565,337.793335,349.8699951,349.8699951,72924300,TSLA
18-01-2022,342.2033386,356.9299927,338.686676,343.5033264,343.5033264,66743400,TSLA
19-01-2022,347.2366638,351.5566711,331.6666565,331.8833313,331.8833313,75442500,TSLA
20-01-2022,336.5766602,347.2200012,331.3333435,332.0899963,332.0899963,70488600,TSLA
21-01-2022,332.1133423,334.8500061,313.5,314.6333313,314.6333313,103416000,TSLA
24-01-2022,301.5866699,311.1700134,283.8233337,310,310,151565700,TSLA
25-01-2022,304.7333374,317.0866699,301.0700073,306.1333313,306.1333313,86595900,TSLA
26-01-2022,317.4766541,329.230011,302,312.4700012,312.4700012,104867400,TSLA
27-01-2022,311.1199951,311.7966614,276.3333435,276.3666687,276.3666687,147109500,TSLA
28-01-2022,277.186676,285.8333435,264.0033264,282.1166687,282.1166687,134789100,TSLA
31-01-2022,290.9033203,312.6633301,287.3500061,312.2399902,312.2399902,104436000,TSLA
01-02-2022,311.7366638,314.5666809,301.6666565,310.4166565,310.4166565,73138200,TSLA
02-02-2022,309.3933411,310.5,296.4700012,301.8866577,301.8866577,66792900,TSLA
03-02-2022,294,312.3333435,293.5066528,297.0466614,297.0466614,78855600,TSLA
04-02-2022,299.0733337,312.1666565,293.7233276,307.7733459,307.7733459,73625400,TSLA
07-02-2022,307.9299927,315.9233398,300.9033203,302.4466553,302.4466553,60994500,TSLA
08-02-2022,301.8433228,308.7633362,298.2666626,307.3333435,307.3333435,50729100,TSLA
09-02-2022,311.6666565,315.4233398,306.6666565,310.6666565,310.6666565,52259400,TSLA
10-02-2022,302.7900085,314.6033325,298.8999939,301.5166626,301.5166626,66126900,TSLA
11-02-2022,303.2099915,305.3200073,283.5666809,286.6666565,286.6666565,79645800,TSLA
14-02-2022,287.1900024,299.6266785,284.3833313,291.9200134,291.9200134,67756500,TSLA
15-02-2022,300,307.6666565,297.793335,307.4766541,307.4766541,57286200,TSLA
16-02-2022,304.6833191,308.8099976,300.4033203,307.7966614,307.7966614,51294300,TSLA
17-02-2022,304.4200134,306.1666565,291.3666687,292.1166687,292.1166687,55178400,TSLA
